Base_Profile_ID,Persona,Mood,Device,Antecedent,UI_Adaptations,Num_UI_Adaptations,Base_Profile_Score,Strength,Participants,Avg_Support,Avg_Confidence,Avg_Lift,Avg_Cramers_V,Avg_RF_Importance,Avg_SHAP,Num_Statistically_Significant,Num_Supporting_Rules,Merged_Count,Merged_Profile_IDs
1,,Excited,,Mood=Excited,Mobile_sticky_header=Yes (Header stays at top while scrolling),1,0.708922,Strong,10,0.05,1.0,1.550388,0.249826,0.145177,0.007371,0,1,1,32
2,Researcher,Relaxed,Smartphone,"Device=Smartphone, Mood=Relaxed, Persona=Researcher",Mobile_whitespace=Balanced,1,0.66931,Moderate,10,0.05,1.0,1.176471,0.186543,0.143035,0.018279,0,1,1,34
3,Researcher,Relaxed,,"Mood=Relaxed, Persona=Researcher","Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_whitespace=Balanced",2,0.647715,Moderate,10,0.051667,0.939394,1.164006,0.181689,0.147539,0.016452,0,3,1,33
4,,Happy,Smartphone,"Device=Smartphone, Mood=Happy","Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_search_visibility=Collapsible (Search bar that expands when cli... | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",7,0.615974,Moderate,11,0.053182,0.818182,1.280946,0.211214,0.13304,0.023433,1,11,1,12
5,,Happy,,Mood=Happy,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_search_visibility=Collapsible (Search bar that expands when cli... | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_search_visibility=Collapsible (Search bar that expands when cli... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",9,0.604958,Moderate,13,0.062727,0.737968,1.294438,0.203651,0.133874,0.024786,1,22,1,6
6,Deal Hunter,,,Persona=Deal Hunter,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_recommendation_type=Deals (Products on sale or special offers) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",7,0.6048,Moderate,18,0.089559,0.746324,1.557234,0.173891,0.133814,0.022602,2,34,1,26
7,Minimalist,,Laptop/Desktop,"Device=Laptop/Desktop, Persona=Minimalist","Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl...",4,0.581158,Moderate,10,0.05,0.909091,1.217852,0.144874,0.130666,0.02079,0,4,1,1
8,Researcher,,Laptop/Desktop,"Device=Laptop/Desktop, Persona=Researcher","Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_whitespace=Balanced",6,0.579934,Moderate,11,0.055,0.785714,1.298656,0.155466,0.133366,0.022137,0,16,1,25
9,,Neutral,Laptop/Desktop,"Device=Laptop/Desktop, Mood=Neutral","Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_navigation=Bottom Nav (Navigation bar at the bottom - mo... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",8,0.578179,Moderate,11,0.055208,0.736111,1.310721,0.183359,0.131426,0.023099,0,24,1,9
10,Minimalist,Neutral,Smartphone,"Device=Smartphone, Mood=Neutral, Persona=Minimalist","Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_whitespace=Balanced",5,0.560954,Moderate,10,0.051429,0.791209,1.1119,0.191287,0.143554,0.017552,0,7,1,3
