Trait,Level,Property,Nudge,Direction,Delta,Group_N,Baseline_Score,Group_Score,Provenance,Cramers_V,RF_Importance,Mean_SHAP,Effect_Size,Coverage,Modifier_Evidence_Score,Strength
Agreeableness,High,recommendation_emphasis,1,increase,,94,0.7275,0.7287,theory,0.13587,0.13503,0.018411,0.0,0.47,0.326507,Moderate
Agreeableness,Low,recommendation_emphasis,1,increase,0.085,24,0.7275,0.8125,data-driven,0.13587,0.13503,0.018411,0.085,0.12,0.633345,Strong
Conscientiousness,High,information_density,1,increase,,66,0.535,0.5227,theory,0.067581,0.136669,0.027815,0.0,0.33,0.272673,Weak
Conscientiousness,Low,information_density,-1,decrease,,35,0.535,0.55,theory,0.067581,0.136669,0.027815,0.0,0.175,0.258723,Weak
Extraversion,High,recommendation_emphasis,-1,decrease,-0.0723,29,0.7275,0.6552,data-driven,0.147525,0.118417,0.025219,0.0723,0.145,0.635308,Strong
Extraversion,High,information_density,-1,decrease,-0.0522,29,0.535,0.4828,data-driven,0.092127,0.149454,0.029968,0.0522,0.145,0.5782,Strong
Extraversion,High,animation_level,1,increase,,29,,,theory,0.0,0.0,0.0,0.0,0.145,0.01305,Weak
Extraversion,Low,recommendation_emphasis,-1,decrease,,61,0.7275,0.7131,theory,0.147525,0.118417,0.025219,0.0,0.305,0.323285,Moderate
Neuroticism,High,recommendation_emphasis,1,increase,0.0503,45,0.7275,0.7778,data-driven,0.19336,0.160564,0.03152,0.0503,0.225,0.765863,Very Strong
Neuroticism,High,information_density,-1,decrease,,45,0.535,0.5556,theory,0.130845,0.159458,0.036613,0.0,0.225,0.361396,Moderate
Neuroticism,High,whitespace,1,increase,,45,0.5558,0.5333,theory,0.104545,0.173464,0.030008,0.0,0.225,0.33433,Moderate
Neuroticism,High,animation_level,-1,decrease,,45,,,theory,0.0,0.0,0.0,0.0,0.225,0.02025,Weak
Openness,High,visual_richness,1,increase,,59,0.6072,0.6111,theory,0.174994,0.145288,0.040455,0.0,0.295,0.405088,Moderate
Openness,High,animation_level,1,increase,,59,,,theory,0.0,0.0,0.0,0.0,0.295,0.02655,Weak
Openness,Low,information_density,1,increase,0.09,32,0.535,0.625,data-driven,0.13946,0.163294,0.025649,0.09,0.16,0.720818,Very Strong
Openness,Low,visual_richness,-1,decrease,,32,0.6072,0.6042,theory,0.174994,0.145288,0.040455,0.0,0.16,0.392938,Moderate
Openness,Low,animation_level,-1,decrease,,32,,,theory,0.0,0.0,0.0,0.0,0.16,0.0144,Weak
