UI_Category,Antecedent,Consequent,Support,Confidence,Lift,Leverage,Conviction,Rule_Length
Mobile_UI,Mood=Excited,Mobile_sticky_header=Yes (Header stays at top while scrolling),0.05,1.0,1.5503875968992247,0.017750000000000002,inf,2
Mobile_UI,"Device=Smartphone, Mood=Happy","Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis)",0.065,1.0,1.2048192771084338,0.011050000000000004,inf,3
Mobile_UI,"Device=Laptop/Desktop, Persona=Researcher",Mobile_whitespace=Balanced,0.07,1.0,1.1764705882352942,0.010500000000000002,inf,3
Mobile_UI,"Mood=Relaxed, Persona=Researcher",Mobile_whitespace=Balanced,0.055,1.0,1.1764705882352942,0.00825,inf,3
Mobile_UI,"Device=Smartphone, Mood=Relaxed, Persona=Researcher",Mobile_whitespace=Balanced,0.05,1.0,1.1764705882352942,0.0075,inf,4
Mobile_UI,"Mood=Neutral, Persona=Researcher",Mobile_whitespace=Balanced,0.115,0.9583333333333334,1.1274509803921569,0.013000000000000012,3.6000000000000036,3
Mobile_UI,"Device=Smartphone, Mood=Neutral, Persona=Researcher",Mobile_whitespace=Balanced,0.09,0.9473684210526315,1.1145510835913313,0.009249999999999994,2.8499999999999974,4
Mobile_UI,"Device=Smartphone, Persona=Loyal Customer","Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis)",0.085,0.9444444444444445,1.137884872824632,0.010300000000000017,3.0600000000000054,3
Mobile_UI,Persona=Researcher,Mobile_whitespace=Balanced,0.245,0.9423076923076923,1.1085972850678734,0.023999999999999994,2.5999999999999996,2
Mobile_UI,Mood=Happy,"Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis)",0.08,0.9411764705882353,1.1339475549255846,0.00945,2.89,2
Desktop_UI,"Device=Laptop/Desktop, Mood=Neutral",Desktop_persistent_filters=Yes (Always visible sidebar with filters),0.07,0.9333333333333335,1.2444444444444447,0.013750000000000012,3.750000000000007,3
Mobile_UI,"Device=Laptop/Desktop, Mood=Neutral",Mobile_whitespace=Balanced,0.07,0.9333333333333335,1.0980392156862746,0.0062500000000000056,2.2500000000000044,3
