Trait,Level,Property,Nudge,Direction,Delta,Group_N,Baseline_Score,Group_Score,Provenance
Agreeableness,High,recommendation_emphasis,1,increase,,94,0.7275,0.7287,theory
Agreeableness,Low,recommendation_emphasis,1,increase,0.085,24,0.7275,0.8125,data-driven
Conscientiousness,High,information_density,1,increase,,66,0.535,0.5227,theory
Conscientiousness,Low,information_density,-1,decrease,,35,0.535,0.55,theory
Extraversion,High,animation_level,1,increase,,29,,,theory
Extraversion,High,information_density,-1,decrease,-0.0522,29,0.535,0.4828,data-driven
Extraversion,High,recommendation_emphasis,-1,decrease,-0.0723,29,0.7275,0.6552,data-driven
Extraversion,Low,recommendation_emphasis,-1,decrease,,61,0.7275,0.7131,theory
Neuroticism,High,animation_level,-1,decrease,,45,,,theory
Neuroticism,High,information_density,-1,decrease,,45,0.535,0.5556,theory
Neuroticism,High,recommendation_emphasis,1,increase,0.0503,45,0.7275,0.7778,data-driven
Neuroticism,High,whitespace,1,increase,,45,0.5558,0.5333,theory
Openness,High,animation_level,1,increase,,59,,,theory
Openness,High,visual_richness,1,increase,,59,0.6072,0.6111,theory
Openness,Low,animation_level,-1,decrease,,32,,,theory
Openness,Low,information_density,1,increase,0.09,32,0.535,0.625,data-driven
Openness,Low,visual_richness,-1,decrease,,32,0.6072,0.6042,theory
