UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Desktop_UI,desktop_grid_pref,Agreeableness,0.14896533376456317,"Agreeableness, Conscientiousness, Neuroticism","0.1490, 0.1471, 0.1392","Openness, Agreeableness, current_mood","0.0256, 0.0248, 0.0223",0.025603168192623142
Desktop_UI,desktop_info_density,Neuroticism,0.1516035561058999,"Neuroticism, Extraversion, primary_persona","0.1516, 0.1495, 0.1406","Neuroticism, primary_device, current_mood","0.0366, 0.0360, 0.0338",0.036613181729662325
Desktop_UI,desktop_image_text_ratio,Neuroticism,0.14759171287105938,"Neuroticism, Agreeableness, primary_persona","0.1476, 0.1420, 0.1413","Neuroticism, Openness, Agreeableness","0.0350, 0.0318, 0.0282",0.03501225697927684
Desktop_UI,desktop_whitespace,Neuroticism,0.1734640320746739,"Neuroticism, Openness, Conscientiousness","0.1735, 0.1500, 0.1410","primary_device, Openness, Agreeableness","0.0450, 0.0338, 0.0299",0.04497102499333076
Desktop_UI,desktop_navigation,Neuroticism,0.1469126294681928,"Neuroticism, Openness, primary_persona","0.1469, 0.1438, 0.1381","Agreeableness, primary_device, Neuroticism","0.0352, 0.0336, 0.0330",0.035214559008019265
Desktop_UI,desktop_search_visibility,Neuroticism,0.1688294095120784,"Neuroticism, Agreeableness, Conscientiousness","0.1688, 0.1579, 0.1316","Extraversion, primary_persona, Agreeableness","0.0495, 0.0354, 0.0254",0.04953568965636855
Desktop_UI,desktop_category_display,Neuroticism,0.1593344978022734,"Neuroticism, Conscientiousness, Extraversion","0.1593, 0.1521, 0.1386","Agreeableness, primary_persona, current_mood","0.0364, 0.0330, 0.0246",0.0363836631085862
Desktop_UI,desktop_product_card,Neuroticism,0.1601909869000728,"Neuroticism, Conscientiousness, primary_persona","0.1602, 0.1421, 0.1375","Neuroticism, Openness, Agreeableness","0.0282, 0.0246, 0.0242",0.028151284518293324
Desktop_UI,desktop_price_display,Neuroticism,0.1487447892060389,"Neuroticism, Conscientiousness, Agreeableness","0.1487, 0.1481, 0.1383","Conscientiousness, Openness, primary_device","0.0401, 0.0351, 0.0288",0.04011943385433388
Desktop_UI,desktop_filter_location,Agreeableness,0.1557646206679608,"Agreeableness, Neuroticism, primary_persona","0.1558, 0.1554, 0.1418","Extraversion, current_mood, Openness","0.0467, 0.0425, 0.0277",0.046727344540163564
Desktop_UI,desktop_persistent_filters,Neuroticism,0.16702126489378236,"Neuroticism, current_mood, Openness","0.1670, 0.1461, 0.1320","Openness, primary_persona, Extraversion","0.0360, 0.0356, 0.0297",0.03601509161981057
Desktop_UI,desktop_quick_view,Agreeableness,0.16027127689436504,"Agreeableness, Neuroticism, Openness","0.1603, 0.1588, 0.1342","Extraversion, current_mood, primary_device","0.0285, 0.0277, 0.0235",0.028538967117687237
Desktop_UI,desktop_review_display,Neuroticism,0.15736152806686918,"Neuroticism, Conscientiousness, Agreeableness","0.1574, 0.1515, 0.1353","Neuroticism, current_mood, Extraversion","0.0367, 0.0305, 0.0299",0.03666279100423075
