UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Global_UI,font_style_pref,Neuroticism,0.166754478221572,"Neuroticism, Openness, Conscientiousness","0.1668, 0.1505, 0.1386","primary_device, Neuroticism, current_mood","0.0483, 0.0418, 0.0311",0.04828259122900901
Global_UI,font_size_pref,Neuroticism,0.17503920832986536,"Neuroticism, Extraversion, Agreeableness","0.1750, 0.1392, 0.1336","current_mood, primary_persona, Extraversion","0.0462, 0.0355, 0.0321",0.046155994834408215
Global_UI,color_theme_pref,primary_persona,0.16154343095804555,"primary_persona, Neuroticism, current_mood","0.1615, 0.1456, 0.1414","primary_persona, Agreeableness, Neuroticism","0.0297, 0.0236, 0.0201",0.029734884043525305
Global_UI,accent_color_pref,current_mood,0.14699427782432262,"current_mood, Openness, Conscientiousness","0.1470, 0.1450, 0.1422","Openness, Neuroticism, current_mood","0.0274, 0.0197, 0.0191",0.027365374068513207
Global_UI,background_pref,Neuroticism,0.15390183913549016,"Neuroticism, Conscientiousness, primary_persona","0.1539, 0.1407, 0.1361","current_mood, Neuroticism, Extraversion","0.0483, 0.0318, 0.0272",0.04828990137877086
Global_UI,whitespace_pref,current_mood,0.15077847835127237,"current_mood, Neuroticism, Extraversion","0.1508, 0.1506, 0.1440","Openness, Neuroticism, Conscientiousness","0.0339, 0.0300, 0.0261",0.03388854266615276
Global_UI,button_style_pref,Neuroticism,0.1666568725148211,"Neuroticism, Conscientiousness, Extraversion","0.1667, 0.1406, 0.1381","Agreeableness, Openness, current_mood","0.0250, 0.0244, 0.0219",0.025044615049998425
Global_UI,hero_banner_size,Neuroticism,0.1608969971318128,"Neuroticism, Openness, Extraversion","0.1609, 0.1453, 0.1421","current_mood, Openness, primary_device","0.0408, 0.0405, 0.0306",0.04078750777312464
Global_UI,recommendation_type,Neuroticism,0.15404705777575067,"Neuroticism, Agreeableness, Extraversion","0.1540, 0.1435, 0.1403","Neuroticism, primary_persona, current_mood","0.0406, 0.0362, 0.0311",0.04055553676141661
Global_UI,social_proof_display,Neuroticism,0.16056404081992362,"Neuroticism, Conscientiousness, primary_persona","0.1606, 0.1469, 0.1468","Neuroticism, Extraversion, primary_device","0.0315, 0.0252, 0.0230",0.03152006716729635
Global_UI,urgency_pref,Neuroticism,0.15418811338782162,"Neuroticism, primary_persona, Conscientiousness","0.1542, 0.1436, 0.1400","primary_device, Neuroticism, current_mood","0.0320, 0.0309, 0.0304",0.03197838174348877
Global_UI,checkout_style,Neuroticism,0.17245258744732944,"Neuroticism, Conscientiousness, primary_persona","0.1725, 0.1614, 0.1333","Extraversion, current_mood, primary_device","0.0310, 0.0303, 0.0247",0.03097613547193547
Global_UI,form_field_style,primary_persona,0.15866901745945894,"primary_persona, Extraversion, Conscientiousness","0.1587, 0.1409, 0.1403","Agreeableness, primary_persona, Openness","0.0233, 0.0205, 0.0196",0.023307340896178044
Global_UI,product_desc_length,primary_persona,0.1540095354726442,"primary_persona, Neuroticism, Agreeableness","0.1540, 0.1496, 0.1384","primary_persona, Openness, Neuroticism","0.0410, 0.0343, 0.0338",0.0409993870133311
