UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Mobile_UI,mobile_grid_pref,Neuroticism,0.15462483084144274,"Neuroticism, Openness, Conscientiousness","0.1546, 0.1465, 0.1433","primary_persona, Extraversion, Conscientiousness","0.0355, 0.0309, 0.0277",0.03547752808433706
Mobile_UI,mobile_info_density,Openness,0.1632939342843895,"Openness, Neuroticism, Conscientiousness","0.1633, 0.1595, 0.1367","primary_device, Openness, Extraversion","0.0414, 0.0256, 0.0215",0.04135348618317817
Mobile_UI,mobile_image_text_ratio,Neuroticism,0.17338183327684278,"Neuroticism, primary_persona, Conscientiousness","0.1734, 0.1520, 0.1456","Neuroticism, Agreeableness, current_mood","0.0295, 0.0289, 0.0263",0.029465796956539787
Mobile_UI,mobile_whitespace,Conscientiousness,0.17536887204027019,"Conscientiousness, primary_persona, Neuroticism","0.1754, 0.1430, 0.1415","Agreeableness, Conscientiousness, current_mood","0.0237, 0.0220, 0.0213",0.023712774633437083
Mobile_UI,mobile_navigation,Openness,0.15432637022221252,"Openness, Neuroticism, Conscientiousness","0.1543, 0.1515, 0.1421","primary_device, primary_persona, Extraversion","0.0449, 0.0297, 0.0283",0.04493073745636021
Mobile_UI,mobile_search_visibility,Conscientiousness,0.16824072989055947,"Conscientiousness, Extraversion, Neuroticism","0.1682, 0.1446, 0.1396","current_mood, Agreeableness, primary_device","0.0511, 0.0335, 0.0281",0.05113542234606927
Mobile_UI,mobile_category_display,Openness,0.17298211410175557,"Openness, Neuroticism, Extraversion","0.1730, 0.1482, 0.1445","primary_device, primary_persona, Openness","0.0533, 0.0339, 0.0300",0.0532851628336115
Mobile_UI,mobile_product_card,Neuroticism,0.15529911834203605,"Neuroticism, Conscientiousness, current_mood","0.1553, 0.1421, 0.1410","Conscientiousness, primary_persona, Openness","0.0308, 0.0266, 0.0266",0.030765841025034196
Mobile_UI,mobile_price_display,Neuroticism,0.16330891659708982,"Neuroticism, Conscientiousness, current_mood","0.1633, 0.1461, 0.1364","primary_persona, Openness, Neuroticism","0.0325, 0.0315, 0.0309",0.03249707758068944
Mobile_UI,mobile_filter_location,Openness,0.1480683053593875,"Openness, Extraversion, current_mood","0.1481, 0.1460, 0.1444","primary_device, Extraversion, primary_persona","0.0513, 0.0393, 0.0330",0.05132729692284529
Mobile_UI,mobile_quick_view,Neuroticism,0.15890161056934976,"Neuroticism, Conscientiousness, primary_persona","0.1589, 0.1409, 0.1383","Extraversion, Neuroticism, primary_device","0.0493, 0.0373, 0.0335",0.049285545205458935
Mobile_UI,mobile_review_display,Neuroticism,0.16425963125436213,"Neuroticism, Extraversion, Conscientiousness","0.1643, 0.1420, 0.1419","primary_persona, Agreeableness, current_mood","0.0468, 0.0459, 0.0313",0.046796666769425496
Mobile_UI,mobile_sticky_header,Neuroticism,0.1516358121404803,"Neuroticism, Agreeableness, current_mood","0.1516, 0.1489, 0.1452","Agreeableness, Neuroticism, Extraversion","0.0781, 0.0426, 0.0412",0.07812896262476739
Mobile_UI,mobile_touch_size,Neuroticism,0.15477880994637408,"Neuroticism, Agreeableness, Openness","0.1548, 0.1422, 0.1414","Agreeableness, Neuroticism, primary_device","0.0434, 0.0334, 0.0287",0.043439563700711274
